id,name,desc,category,price
P043,데스커 컴퓨터 책상,사용자의 바른 자세를 도와주는 심플하고 견고한 오피스 책상,가구,159000
P044,시디즈 T50 의자,허리가 편안한 인체공학적 설계로 유명한 사무용 메쉬 의자,가구,320000
P045,마켓비 철제 캐비닛,빈티지한 인테리어 효과와 넉넉한 수납을 제공하는 철제 서랍장,가구,65000
P046,일룸 모션베드 침대,각도 조절로 수면과 휴식을 동시에 최적화하는 스마트 전동 침대,가구,1800000
P047,자코모 가죽 소파,천연 면피 가죽을 사용하여 촉감이 부드럽고 내구성이 좋은 거실 소파,가구,2500000
P048,한샘 샘책장 5단,국민 책장으로 불리는 튼튼하고 깔끔한 디자인의 화이트 책장,가구,99000
P049,두닷 콰트로 데스크,프레임이 튼튼하여 흔들림이 없는 작업용 롱 테이블,가구,135000
P050,까사미아 원목 식탁,따뜻한 나무 질감이 살아있는 4인용 북유럽 스타일 원목 식탁,가구,780000
P051,이케아 푀엥 암체어,편안하게 몸을 감싸주는 디자인으로 독서할 때 좋은 1인용 안락의자,가구,95000
P052,무인양품 푹신소파,몸의 모양에 따라 형태가 변하는 편안한 빈백 소파,가구,160000
P143,심플 컴퓨터 책상,공부와 업무에 최적화된 1200mm 폭의 책상,가구,75000
P144,메쉬 사무용 의자,통기성이 좋고 허리를 지지해주는 인체공학 의자,가구,115000
P145,5단 우드 서랍장,옷과 소품을 넉넉히 수납하는 깔끔한 서랍장,가구,89000
P146,슬림 전신거울,공간을 넓어 보이게 하는 미니멀 디자인 거울,가구,42000
P147,3단 접이식 침대,손님용이나 좁은 방에 적합한 이동식 침대,가구,135000
P148,1인용 빈백 소파,몸 모양에 맞춰 변형되는 편안한 휴식용 소파,가구,68000
P149,소파 사이드 테이블,거실에서 간식이나 리모컨을 두기 좋은 탁자,가구,25000
P150,수납형 화장대,거울 뒤와 서랍에 화장품을 정리하는 화장대,가구,120000
P151,아일랜드 식탁,조리대 겸 식탁으로 사용 가능한 수납형 식탁,가구,185000
P152,전자레인지 렌지대,가전기기와 주방 소품을 한데 모으는 선반,가구,55000
P083,애플 에어팟 프로 2세대,강력한 노이즈 캔슬링과 고해상도 사운드를 제공하는 무선 이어폰,디지털기기,329000
P084,로지텍 MX Master 3S,사무용 마우스의 끝판왕으로 불리는 저소음 무한 휠 마우스,디지털기기,139000
P085,키크론 K8 기계식 키보드,맥과 윈도우 완벽 호환되는 무선 텐키리스 기계식 키보드,디지털기기,125000
P086,삼성 T7 외장 SSD 1TB,방수 및 충격 보호 기능이 있고 전송 속도가 매우 빠른 외장 하드,디지털기기,155000
P087,아이패드 에어 6세대,M2 칩 탑재로 전문적인 작업도 가능한 가벼운 태블릿 PC,디지털기기,899000
